"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"WXN8ZKKL","journalArticle","2004","Sosa, Manuel E.; Eppinger, Steven D.; Rowles, Craig M.","The Misalignment of Product Architecture and Organizational Structure in Complex Product Development","Management Science","","0025-1909","10.1287/mnsc.1040.0289","https://pubsonline.informs.org/doi/abs/10.1287/mnsc.1040.0289","Product architecture knowledge is typically embedded in the communication patterns of established development organizations. While this enables the development of products using the existing architecture, it hinders the organization's ability to implement novel architectures, especially for complex products. Structured methods addressing this issue are lacking, as previous research has studied complex product development from two separate perspectives: product architecture and organizational structure. Our research integrates these viewpoints with a structured approach to study how design interfaces in the product architecture map onto communication patterns within the development organization. We investigate how organizational and system boundaries, design interface strength, indirect interactions, and system modularity impact the alignment of design interfaces and team interactions. We hypothesize and test how these factors explain the existence of the following cases: (1) known design interfaces not addressed by team interactions, and (2) observed team interactions not predicted by design interfaces. Our results offer important insights to managers dealing with interdependences across organizational and functional boundaries. In particular, we show how boundary effects moderate the impact of design interface strength and indirect team interactions, and are contingent on system modularity. The research uses data collected from a large commercial aircraft engine development process.","2004-12-01","2018-11-03 21:47:13","2021-02-23 22:08:20","2018-11-03 21:47:13","1674-1689","","12","50","","Management Science","","","","","","","","","","","","","pubsonline.informs.org (Atypon)","","","","C:\Users\matth\Zotero\storage\LFX4UP2D\Sosa et al. - 2004 - The Misalignment of Product Architecture and Organ.pdf; C:\Users\matth\Zotero\storage\HX3KUJAM\mnsc.1040.html","","TT refs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUU2CL48","book","2015","McChrystal, General Stanley; Silverman, David; Collins, Tantum; Fussell, Chris","Team of Teams: New Rules of Engagement for a Complex World","","978-0-241-25083-9","","","","As commander of Joint Special Operations Command (JSOC), General Stanley McChrystal discarded a century of management wisdom and pivoted from a pursuit of mechanical efficiency to organic adaptability. In this book, he shows how any organization can make the same transition to act like a team of teams - where small groups combine the freedom to experiment with a relentless drive to share their experience.Drawing on a wealth of evidence from his military career and sources as diverse as hospital emergency rooms and NASA's space program, McChrystal frames the existential challenge facing today's organizations, and presents a compelling, effective solution.","2015-11-26","2018-11-02 21:25:18","2021-02-23 21:30:35","","","304","","","","","Team of Teams","","","","","Portfolio Penguin","New York, NY","English","","","","","Amazon","","","","","https://www.amazon.co.uk/Team-Teams-Rules-Engagement-Complex/dp/0241250838","TT refs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8RK8P5B5","journalArticle","1992","Dunbar, R. I. M.","Neocortex size as a constraint on group size in primates","Journal of Human Evolution","","0047-2484","10.1016/0047-2484(92)90081-J","http://www.sciencedirect.com/science/article/pii/004724849290081J","Two general kinds of theory (one ecological and one social) have been advanced to explain the fact that primates have larger brains and greater congnitive abilities than other animals. Data on neocortex volume, group size and a number of behavioural ecology variables are used to test between the various theories. Group size is found to be a function of relative neocortical volume, but the ecological variables are not. This is interpreted as evidence in favour of the social intellect theory and against the ecological theories. It is suggested that the number of neocortical neurons limits the organism's information-processing capacity and that this then limits the number of relationships that an individual can monitor simultaneously. When a group's size exceeds this limit, it becomes unstable and begins to fragment. This then places an upper limit on the size of groups which any given species can maintain as cohesive social units through time. The data suggest that the information overload occurs in terms of the structure of relationships within tightly bonded grooming cliques rather than in terms of the total number of dyads within the group as a whole that an individual has to monitor. It thus appears that, among primates, large groups are created by welding together sets of smaller grooming cliques. One implication of these results is that, since the actual group size will be determined by the ecological characteristics of the habitat in any given case, species will only be able to invade habitats that require larger groups than their current limit if they evolve larger neocortices.","1992-06-01","2018-11-02 19:19:54","2021-02-23 16:36:02","2018-11-02 19:19:54","469-493","","6","22","","Journal of Human Evolution","","","","","","","","","","","","","ScienceDirect","","","","C:\Users\matth\Zotero\storage\DBXXV44R\004724849290081J.html","","TT refs","behavioural ecology; body size; brain size; grooming; social intellect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KRGMFW2M","webpage","2016","Casella, Karen","Improving Team Productivity by Reducing Context Switching | LinkedIn","LinkedIn Pulse","","","","https://www.linkedin.com/pulse/improving-team-productivity-reducing-context-karen-casella/","","2016-10-26","2017-10-09 19:53:52","2021-02-23 16:29:02","2017-10-09 19:53:52","","","","","","","","","","","","","","","","","","","","","","","C:\Users\matth\Zotero\storage\NSUUWJMW\improving-team-productivity-reducing-context-karen-casella.html","","TT refs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DZRYD8F2","blogPost","2012","Skelton, Matthew","Icebreaker for Agile Retrospectives – Empathy Snap","Matthew Skelton","","","","http://empathysnap.com/","I was invited by one of our London dev teams to facilitate their retrospective yesterday. I’m far from an expert in facilitating retros, although I enjoy it, and I find that I learn a huge amount f…","2012-11-15","2018-10-30 22:13:47","2021-02-23 22:05:58","2018-10-30 22:13:47","","","","","","","","","","","","","","en","","","","","","","https://blog.matthewskelton.net/2012/11/15/icebreaker-for-agile-retrospectives-empathy-snap/","","C:\Users\matth\Zotero\storage\3WUB82YS\icebreaker-for-agile-retrospectives-empathy-snap.html","","TT refs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44IWSGF5","blogPost","2013","Kelly, Allan","Conway's Law v. Software Architecture","dzone.com","","","","https://dzone.com/articles/conways-law-v-software","I've written about Conway's Law before (Return to Conway’s Law (2006) and a Focus Group I ran at EuroPLoP “What do we think of Conway’s Law Now?”) But I make no...","2013-03-14","2018-10-30 18:01:56","2021-02-23 16:55:33","2018-10-30 18:01:56","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\matth\Zotero\storage\LXVJPATG\conways-law-v-software.html","","TT refs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U4EIIF6K","webpage","2015","Neumark, Peter","DevOps & Product Teams - Win or Fail?","InfoQ","","","","https://www.infoq.com/articles/devops-product-teams","Peter Neumark found a new world when he moved from a DevOps infrastructure team to a Lean product team.How to experiment frequently while keeping operational performance? Platform teams to the rescue!","2015-06-29","2016-08-11 19:04:29","2021-02-23 21:40:13","2016-08-11 19:04:29","","","","","","","","","","","","","","","","","","","","","","","C:\Users\matth\Zotero\storage\XFCDAPW2\devops-product-teams.html","","TT refs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9DBB7VQ9","blogPost","2006","Snowden, Dave","The rule of 5,15 & 150","Cognitive Edge","","","","http://cognitive-edge.com/blog/logn-0-093-3-389-logcr-1-r20-764-t3410-35-p0-001/","Recognise it? Well of course, it’s the best-fit reduced major axis regression equation between neocortex…","2006-12-10","2016-08-11 19:16:07","2021-02-23 22:07:58","2016-08-11 19:16:07","","","","","","","","","","","","","","","","","","","","","","","C:\Users\matth\Zotero\storage\SWFX2CGN\logn-0-093-3-389-logcr-1-r20-764-t3410-35-p0-001.html","","TT refs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XB7YMMIN","blogPost","2018","Ingles, Paul","Convergence to Kubernetes","Paul Ingles","","","","https://medium.com/@pingles/convergence-to-kubernetes-137ffa7ea2bc","Standardisation to Scale","2018-06-18","2018-10-29 22:42:29","2021-02-23 16:52:53","2018-10-29 22:42:29","","","","","","","","","","","","","","","","","","","","","","","C:\Users\matth\Zotero\storage\Q3NGIXLX\convergence-to-kubernetes-137ffa7ea2bc.html","","TT refs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T642P394","book","2010","Humble, Jez; Farley, David","Continuous Delivery: Reliable Software Releases through Build, Test, and Deployment Automation","","978-0-321-60191-9","","","","Winner of the 2011 Jolt Excellence Award!Getting software released to users is often a painful, risky, and time-consuming process.This groundbreaking new book sets out the principles and technical practices that enablerapid, incremental delivery of high quality, valuable new functionality to users. Throughautomation of the build, deployment, and testing process, and improved collaboration betweendevelopers, testers, and operations, delivery teams can get changes released in a matter of hours―sometimes even minutes–no matter what the size of a project or the complexity of its code base. Jez Humble and David Farley begin by presenting the foundations of a rapid, reliable, low-riskdelivery process. Next, they introduce the “deployment pipeline,” an automated process formanaging all changes, from check-in to release. Finally, they discuss the “ecosystem” needed tosupport continuous delivery, from infrastructure, data and configuration management to governance. The authors introduce state-of-the-art techniques, including automated infrastructure managementand data migration, and the use of virtualization. For each, they review key issues, identify bestpractices, and demonstrate how to mitigate risks. Coverage includes • Automating all facets of building, integrating, testing, and deploying software• Implementing deployment pipelines at team and organizational levels• Improving collaboration between developers, testers, and operations• Developing features incrementally on large and distributed teams• Implementing an effective configuration management strategy• Automating acceptance testing, from analysis to implementation• Testing capacity and other non-functional requirements• Implementing continuous deployment and zero-downtime releases• Managing infrastructure, data, components and dependencies• Navigating risk management, compliance, and auditing Whether you’re a developer, systems administrator, tester, or manager, this book will help yourorganization move from idea to release faster than ever―so you can deliver value to your businessrapidly and reliably.","2010-07-27","2018-10-29 16:35:54","2021-02-23 16:51:15","","","512","","","","","Continuous Delivery","","","","","Addison Wesley","Upper Saddle River, NJ","English","","","","","Amazon","","","","","https://www.amazon.co.uk/Continuous-Delivery-Deployment-Automation-Addison-Wesley/dp/0321601912/ref=asap_bc?ie=UTF8","TT refs","","","","","","","","","","","","","","","","","","","","","01 edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
